20/03/2017,07:41:40,BEELD,OS,A13R,"15,810",15.810,*50*,*50*,*50*
20/03/2017,07:41:40,BEELD,OS,A13R,"16,200",16.200,50,50,50
20/03/2017,07:41:41,BEELD,OS,A13R,"15,400",15.400,*70*,*70*,*70*
20/03/2017,07:41:56,BEELD,OS,A13R,"13,235",13.235,BL,BL,BL
20/03/2017,07:41:56,BEELD,OS,A13R,"13,700",13.700,BL,BL,BL
20/03/2017,07:42:32,BEELD,OS,A13R,"17,100",17.100,70,70,70
20/03/2017,07:42:32,BEELD,OS,A13R,"17,800",17.800,*50*,*50*,*50*
20/03/2017,07:44:04,BEELD,OS,A13R,"12,700",12.700,BL,BL,BL
20/03/2017,07:44:44,BEELD,OS,A13R,"15,035",15.035,*70*,*70*,*70*
20/03/2017,07:44:44,BEELD,OS,A13R,"15,400",15.400,*50*,*50*,*50*
20/03/2017,07:44:45,BEELD,OS,A13R,"15,810",15.810,50,50,50
20/03/2017,07:45:44,BEELD,OS,A13R,"10,300",10.300,*70*,*70*,*70*
20/03/2017,07:45:44,BEELD,OS,A13R,"11,100",11.100,*50*,*50*,*50*
20/03/2017,07:45:44,BEELD,OS,A13R,"12,000",12.000,50,50,50
20/03/2017,07:45:44,BEELD,OS,A13R,"14,700",14.700,*70*,*70*,*70*
20/03/2017,07:45:44,BEELD,OS,A13R,"15,035",15.035,*50*,*50*,*50*
20/03/2017,07:45:44,BEELD,OS,A13R,"15,400",15.400,50,50,50
20/03/2017,07:45:52,BEELD,OS,A13R,"12,300",12.300,BL,BL,BL
20/03/2017,07:47:10,BEELD,OS,A13R,"14,200",14.200,*70*,*70*,*70*
20/03/2017,07:47:10,BEELD,OS,A13R,"14,700",14.700,*50*,*50*,*50*
20/03/2017,07:47:10,BEELD,OS,A13R,"15,035",15.035,50,50,50
20/03/2017,07:47:25,BEELD,OS,A13R,"15,810",15.810,70,70,70
20/03/2017,07:47:26,BEELD,OS,A13R,"16,200",16.200,*50*,*50*,*50*
20/03/2017,07:47:48,BEELD,OS,A13R,"15,400",15.400,BL,BL,BL
20/03/2017,07:47:48,BEELD,OS,A13R,"15,810",15.810,*70*,*70*,*70*
20/03/2017,07:48:21,BEELD,OS,A13R,"13,700",13.700,*70*,*70*,*70*
20/03/2017,07:48:21,BEELD,OS,A13R,"14,200",14.200,*50*,*50*,*50*
20/03/2017,07:48:21,BEELD,OS,A13R,"14,700",14.700,50,50,50
20/03/2017,07:48:44,BEELD,OS,A13R,"11,100",11.100,*70*,*70*,*70*
