16-03-2018,02:06,16-03-2018,05:53,RW084,15.035,15.81,6,6,0
16-03-2018,15:57,16-03-2018,16:14,RW085,15.035,15.4,8,8,6
17-03-2018,22:11,17-03-2018,22:20,RW086,16.655,17.8,6,6,0
18-03-2018,09:28,18-03-2018,09:40,RW087,15.81,16.2,6,6,0
18-03-2018,23:46,19-03-2018,00:10,RW088,18.2,18.7,8,8,6
19-03-2018,07:15,19-03-2018,07:21,RW089,7.2,8.1,8,8,6
19-03-2018,07:20,19-03-2018,07:24,RW090,7.2,8.1,6,6,0
20-03-2018,00:13,20-03-2018,00:49,RW091,16.2,17.1,6,6,0
20-03-2018,10:43,20-03-2018,11:06,RW092,18.2,18.5,8,8,6
20-03-2018,10:44,20-03-2018,11:06,RW093,17.8,17.8,6,6,0
20-03-2018,13:55,20-03-2018,14:22,RW094,10.3,10.3,8,8,6
20-03-2018,13:57,20-03-2018,14:22,RW095,9.9,10.3,6,6,6
20-03-2018,17:09,20-03-2018,17:09,RW096,11.1,15.4,0,6,6
20-03-2018,17:25,20-03-2018,17:35,RW097,11.1,16.2,0,6,6
20-03-2018,17:32,20-03-2018,17:36,RW098,18.5,18.7,6,6,0
21-03-2018,23:06,22-03-2018,04:22,RW099,8.6,10.3,6,0,0
21-03-2018,23:08,22-03-2018,04:22,RW100,9.9,10.3,6,6,6
22-03-2018,08:20,22-03-2018,08:27,RW101,6.4,6.725,8,8,8
22-03-2018,08:27,22-03-2018,08:55,RW102,6.4,6.4,6,6,6
22-03-2018,08:34,22-03-2018,09:13,RW103,9.9,10.3,0,6,6
22-03-2018,08:59,22-03-2018,09:01,RW104,11.1,12.7,0,6,6
23-03-2018,06:45,23-03-2018,06:48,RW105,9.1,9.9,8,8,6
23-03-2018,11:10,23-03-2018,11:14,RW106,9.9,10.3,0,6,6
25-03-2018,14:48,25-03-2018,14:52,RW107,7.2,8.1,6,6,0
25-03-2018,14:50,25-03-2018,14:51,RW108,7.2,8.1,6,0,0
26-03-2018,11:16,26-03-2018,11:18,RW109,13.7,14.2,6,6,0
26-03-2018,17:12,26-03-2018,17:16,RW111,18.2,18.7,8,8,6
27-03-2018,20:28,27-03-2018,20:52,RW112,13.235,13.7,8,8,6
27-03-2018,20:52,27-03-2018,20:59,RW113,13.235,13.7,6,6,0
28-03-2018,14:07,28-03-2018,14:15,RW114,9.1,9.9,6,6,0
28-03-2018,14:08,28-03-2018,14:15,RW115,8.6,8.6,6,6,0
28-03-2018,16:40,28-03-2018,16:47,RW116,14.2,14.7,0,0,6
28-03-2018,16:47,28-03-2018,17:09,RW117,14.2,14.7,8,8,6
28-03-2018,17:00,28-03-2018,17:07,RW118,14.2,14.7,6,6,0
29-03-2018,14:18,29-03-2018,14:23,RW119,12,12.3,8,8,8
29-03-2018,19:14,29-03-2018,19:23,RW120,6.4,6.4,6,6,6
29-03-2018,19:46,29-03-2018,23:45,RW121,15.81,17.1,0,6,6
29-03-2018,22:10,29-03-2018,23:11,RW122,6.4,6.725,6,6,6
29-03-2018,23:11,30-03-2018,00:40,RW123,6.4,6.725,6,6,6
30-03-2018,00:42,30-03-2018,01:59,RW124,13.235,14.2,0,6,6
30-03-2018,02:00,30-03-2018,03:17,RW125,15.81,17.1,0,6,6
30-03-2018,10:12,30-03-2018,10:20,RW126,7.2,8.1,6,6,0
30-03-2018,10:41,30-03-2018,10:43,RW127,8.1,8.6,8,8,6
30-03-2018,12:32,30-03-2018,12:34,RW128,5.91,7.2,6,6,6
30-03-2018,12:34,30-03-2018,12:45,RW129,5.481,6.725,0,6,6
30-03-2018,16:25,30-03-2018,16:47,RW130,7.2,7.2,8,8,6
30-03-2018,16:39,30-03-2018,16:47,RW131,6.725,8.1,6,6,0
30-03-2018,17:25,30-03-2018,17:40,RW132,15.4,16.2,8,8,6
30-03-2018,17:32,30-03-2018,17:39,RW133,15.4,16.2,6,6,0
31-03-2018,17:06,31-03-2018,17:31,RW134,16.2,16.655,8,8,6
31-03-2018,17:07,31-03-2018,17:30,RW135,16.2,16.655,6,6,0
31-03-2018,17:37,31-03-2018,17:37,RW136,15.4,16.2,6,6,0
31-03-2018,17:38,31-03-2018,17:57,RW137,15.4,16.2,8,8,6
31-03-2018,17:46,31-03-2018,17:57,RW138,15.4,16.2,6,6,0
